(240, 19397347, 1)
(440, 19399133, 2)
(241, 19401618, 2)
(241, 19402386, 2)
(276, 19402940, 2)
(276, 19403044, 2)
(277, 19403080, 3)
(277, 19403254, 3)
(276, 19403398, 2)
(277, 19403436, 3)
(277, 19403570, 3)
(312, 19403803, 3)
(276, 19403957, 2)
(277, 19403975, 3)
(278, 19404009, 4)
(314, 19404111, 5)
(349, 19404443, 5)
(385, 19404460, 6)
(2419, 19405647, 6)
(2384, 19405681, 6)
(2548, 19405871, 6)
(2241, 19406472, 3)
(2441, 19406748, 4)
(2440, 19407496, 3)
(2440, 19407807, 3)
(2241, 19408190, 3)
(2242, 19408207, 4)
(2481, 19408519, 4)
(4709, 19408540, 5)
(4949, 19408546, 6)
(5189, 19408572, 7)
(4480, 19408766, 4)
(4481, 19408769, 5)
(4721, 19408783, 6)
(4961, 19408821, 7)
(5201, 19408947, 8)
(7429, 19409017, 9)
(7669, 19409331, 10)
(7717, 19409371, 11)
(9534, 19409869, 11)
(9554, 19409889, 12)
(12074, 19409890, 18)
(21882, 19409891, 20)
(22038, 19409958, 19)
(22278, 19409982, 20)
(22278, 19410009, 20)
(12166, 19410035, 18)
(11927, 19410064, 18)
(10075, 19410341, 17)
(10115, 19410347, 19)
(10195, 19410348, 23)
(10295, 19410349, 28)
(10375, 19410350, 32)
(10435, 19410351, 35)
(10575, 19410352, 42)
(10715, 19410353, 49)
(10855, 19410354, 56)
(10995, 19410355, 63)
(11035, 19410356, 65)
(8741, 19410775, 61)
(8821, 19410796, 62)
(11296, 19411583, 62)
(11336, 19411794, 63)
(11356, 19411801, 64)
(9016, 19411886, 63)
(8996, 19411903, 56)
(8476, 19411929, 15)
(8732, 19411948, 16)
(9616, 19411957, 17)
(11504, 19411970, 18)
(7936, 19412372, 13)
(8056, 19412378, 15)
(10456, 19412379, 19)
(20264, 19412380, 21)
(8156, 19413342, 13)
(6228, 19416808, 11)
(10528, 19417005, 12)
(10784, 19417814, 13)
(13028, 19417852, 14)
(16928, 19417883, 15)
(19308, 19421331, 16)
(19628, 19422261, 17)
(19948, 19422298, 18)
(20268, 19422345, 19)
(20300, 19427166, 20)
(20300, 19437371, 20)
(20252, 19437547, 20)
(20252, 19437961, 20)
(20272, 19440126, 21)
(20332, 19440132, 24)
(20412, 19440133, 28)
(20492, 19440134, 32)
(20592, 19440135, 37)
(20652, 19440136, 40)
(20792, 19440137, 47)
(20932, 19440138, 54)
(21072, 19440139, 61)
(21192, 19440140, 67)
(21252, 19440141, 70)
(15902, 19469983, 65)
(15938, 19470285, 66)
(15974, 19470302, 67)
(15975, 19470687, 68)
(15976, 19470801, 69)
(15977, 19470878, 70)
(16025, 19470948, 71)
(16024, 19471384, 70)
(16025, 19471390, 71)
(14943, 19472221, 62)
(15183, 19473071, 63)
(15423, 19473102, 64)
(15663, 19473140, 65)
(15903, 19473173, 66)
(16143, 19473201, 67)
(16383, 19473283, 68)
(16623, 19473285, 69)
(16863, 19473289, 70)
(17103, 19473292, 71)
(17103, 19473533, 71)
(17505, 19473617, 72)
(17585, 19473716, 73)
(17665, 19473743, 74)
(17665, 19473850, 74)
(17802, 19474740, 76)
(20202, 19474741, 80)
(24048, 19474744.736599077, 82)
(24048, 19474872, 78)
(24048, 19475218, 75)
(24048, 19475548.695491962, 76)
(24048, 19475775, 76)
(21802, 19477379.919386283, 77)
(23323, 19477400, 78)
(23363, 19477405, 79)
(24048, 19477407.16867058, 83)
(24048, 19477500.090851083, 84)
(24048, 19477726.919386283, 76)
(17682, 19478281, 74)
(17682, 19478609, 74)
(17742, 19478686, 76)
(24048, 19478688.220718198, 83)
(24048, 19478805.704133548, 89)
(24048, 19478956.220718198, 88)
(24048, 19479050.081531692, 87)
(24048, 19479121.87941337, 87)
(24048, 19479204, 83)
(24048, 19479267, 79)
(22830, 19479427, 75)
(17948, 19479809, 75)
(17682, 19482263, 74)
(17730, 19482330, 75)
(17730, 19482592, 75)
(17778, 19482645, 76)
(17730, 19482703, 75)
(18942, 19483053, 74)
(18962, 19483092, 75)
(17710, 19483278, 74)
(17758, 19483513, 75)
(17730, 19483749, 75)
(18330, 19483755, 79)
(20554, 19483756, 81)
(21782, 19483794, 86)
(22726, 19483800, 87)
(24048, 19483803.83098305, 89)
(24048, 19483849.121297304, 97)
(24048, 19483854.200377636, 102)
(24048, 19483854, 101)
(24048, 19483868, 101)
(24048, 19483911, 97)
(24048, 19483929.07839115, 97)
(24048, 19483964.900380105, 95)
(24048, 19484026.06397544, 90)
(24048, 19484285, 78)
(22210, 19484697, 74)
(21970, 19484787, 73)
(21970, 19485015, 73)
(22070, 19485069, 74)
(23130, 19485489, 72)
(18010, 19485710, 71)
(17970, 19486063, 69)
(17550, 19487596, 67)
(16492, 19492747, 65)
(17428, 19492877, 66)
(18364, 19492923, 67)
(18124, 19492977, 67)
(19632, 19493866, 68)
(18892, 19494609, 67)
(19984, 19494629, 68)
(21076, 19494643, 69)
(17444, 19495076, 67)
(19672, 19495098, 68)
(19912, 19495099, 69)
(21704, 19495980, 65)
(24048, 19496078, 65)
(19564, 19496339, 62)
(19804, 19496351, 63)
(20512, 19496369, 64)
(22248, 19496388, 65)
(22488, 19496406, 66)
(23196, 19496417, 67)
(23416, 19496431, 67)
(23164, 19496761, 66)
(23144, 19496979, 65)
(23044, 19497637, 60)
(20624, 19498192, 58)
(24048, 19498207, 59)
