(24048, 19242061.409496758)
(24048, 19242100.225600105)
(24048, 19242172.225600105)
(24048, 19242187.769329026)
(24048, 19242280.769329026)
(24048, 19242395.40775935)
(24048, 19244439.736404907)
(24048, 19245024.1883879)
(24048, 19246573.187700503)
(24048, 19246821.02133164)
(24048, 19249739.73705002)
(24048, 19250194.615950063)
(24048, 19251203.200702287)
(24048, 19252949.1071375)
(24048, 19253980.084820487)
(24048, 19254618.968400612)
(24048, 19255975.467324983)
(24048, 19257468.67380281)
(24048, 19257650.67380281)
(24048, 19259818.467324983)
(9268, 19283095.86956445)
(9328, 19283427)
(8188, 19287398)
(8248, 19287541)
(8188, 19291432)
(8248, 19292814)
(8563, 19295292)
(8911, 19295694)
(8837, 19296004.049196098)
(8897, 19296831)
(10268, 19296858)
(13185, 19296979)
(14671, 19298654.69754129)
(14971, 19299459)
(14415, 19300101)
(14655, 19300678)
(14415, 19300782)
(14715, 19301108)
(15330, 19301120)
(15690, 19301186)
(16021, 19301295)
(15127, 19301624.262870602)
(15427, 19302514)
(14992, 19302863.989594214)
(15292, 19302873)
(14992, 19302977)
(15292, 19303021)
(15967, 19303131)
(14992, 19303277)
(15292, 19303663)
(14992, 19303767)
(15292, 19304052)
(14452, 19304655)
(14752, 19304828)
(14452, 19304974)
(14472, 19305383)
(14492, 19305389)
(14512, 19305423)
(15737, 19305429)
(17137, 19305446)
(14752, 19305517)
(14792, 19305518)
(14452, 19305619)
(14752, 19305628)
(14452, 19305774)
(15732, 19305847)
(19892, 19305855)
(14452, 19305961)
(14752, 19306015)
(14452, 19306141)
(14472, 19306715)
(14512, 19306720)
(15072, 19306721)
(20152, 19306722)
(14452, 19306849)
(19572, 19306899)
(19572, 19307026)
(14452, 19307132)
(14692, 19307870)
(14452, 19307987)
(14692, 19308024)
(15152, 19310050)
(15512, 19310063)
(15872, 19310073)
(16232, 19310085)
(16592, 19310094)
(16952, 19310125)
(14812, 19310344.848263457)
(15052, 19310357)
(15472, 19310446)
(14992, 19310697)
(15152, 19310788)
(15512, 19310794)
(15872, 19310798)
(16232, 19310802)
(16592, 19310815)
(16952, 19310818)
(17272, 19310937)
(24048, 19311717.721276484)
(24048, 19312102.394254647)
(24048, 19312175.616911296)
(24048, 19312285.334616218)
(24048, 19312369.334616218)
(24048, 19312715.673129216)
(24048, 19312819.673129216)
(24048, 19312825.14563223)
(24048, 19312838.335439697)
