id,S_ime,W_time,R_time,Processors,type,Max_resource,Min_resource
79201,17055906,3,50,128,1,128,128
79202,17056059,2,421,64,1,64,64
79203,17056116,3,229,32,1,32,32
79204,17056416,4,157,32,1,32,32
79205,17056432,15,1545,512,1,512,512
79206,17056487,3,23,32,1,32,32
79207,17056800,3,66,32,1,32,32
79208,17056824,0,44,32,1,32,32
79209,17057187,5,3409,32,1,32,32
79210,17057213,0,35,32,1,32,32
79211,17057505,3,540,256,1,256,256
79212,17058084,3,66,32,1,32,32
79213,17058435,2,1077,128,1,128,128
79214,17058581,5,331,64,1,64,64
79215,17058961,5,70,32,1,32,32
79216,17058988,0,35,32,1,32,32
79217,17059147,3,174,32,1,32,32
79218,17059200,2,1296,64,1,64,64
79219,17060600,3,1119,128,1,128,128
79220,17060607,3351,10,128,1,128,128
79221,17065725,2,34,32,1,32,32
79222,17071787,2,1244,64,1,64,64
79223,17073079,3,426,64,1,64,64
79224,17074442,2,5879,128,1,128,128
79225,17074448,1236,10481,32,1,32,32
79226,17074506,2,24,32,1,32,32
79227,17074619,2,194,64,1,64,64
79228,17076677,1,59,64,1,64,64
79229,17076796,2,62,64,1,64,64
79230,17076988,3,53,64,1,64,64
79231,17077365,3,4316,64,1,64,64
79232,17081661,2,4406,64,1,64,64
79233,17086049,2,4371,64,1,64,64
79234,17086146,21,10855,32,1,32,32
79235,17090400,2,4377,64,1,64,64
79236,17094760,21,4307,64,1,64,64
79237,17097005,53415,10561,32,1,32,32
79238,17099069,26044,4324,64,1,64,64
79239,17104283,20836,3991,128,1,128,128
79240,17107536,17594,4126,32,1,32,32
79285,17109725,15416,17122,512,1,512,512
79425,17120876,4227,3740,256,1,256,256
79426,17125843,3,2695,32,1,32,32
79427,17126019,3,16564,32,1,32,32
79428,17126115,4,74,32,1,32,32
79429,17126181,2,2057,128,1,128,128
79430,17126224,3,71,32,1,32,32
79431,17127356,2,219,128,1,128,128
79432,17128829,3,4047,32,1,32,32
79433,17128950,2,3213,128,1,128,128
79434,17129222,3,13388,32,1,32,32
79435,17129406,3,13083,64,1,64,64
79436,17130042,3,266,128,1,128,128
79437,17131509,8,11068,32,1,32,32
79438,17131935,9,10548,64,1,64,64
79439,17132001,7,10345,256,1,256,256
79440,17132118,8,10486,32,1,32,32
79441,17132897,8,798,32,1,32,32
79442,17134455,8039,235,64,1,64,64
79443,17135898,6457,3908,256,1,256,256
79444,17135901,6524,3328,128,1,128,128
79445,17137616,4972,3977,32,1,32,32
79446,17137851,12579,29229,128,1,128,128
79447,17137868,105755,20580,256,1,256,256
79448,17139653,2950,3961,32,1,32,32
79449,17139927,2706,3931,32,1,32,32
79450,17140925,1690,160,32,1,32,32
79451,17142653,3,2293,32,1,32,32
79452,17143034,4,159,32,1,32,32
79453,17143051,6,1781,64,1,64,64
79454,17143346,2,966,32,1,32,32
79455,17143581,2,169,32,1,32,32
79457,17144255,0,59,32,1,32,32
79458,17144370,0,263,32,1,32,32
79459,17144370,0,263,32,1,32,32
79460,17144589,2,7571,64,1,64,64
79461,17144631,3,96,64,1,64,64
79462,17144657,2,82,32,1,32,32
79463,17144814,3,18332,64,1,64,64
79464,17144824,3,597,32,1,32,32
79465,17144926,2,4711,64,1,64,64
79466,17146644,3,3978,32,1,32,32
79467,17146957,3,485,32,1,32,32
79468,17147754,3,625,32,1,32,32
79469,17152145,13,8099,64,1,64,64
79470,17155855,5,8044,64,1,64,64
79471,17160246,2,7708,64,1,64,64
79472,17160595,2,701,64,1,64,64
79473,17160919,64,10819,32,1,32,32
79474,17161471,3,697,64,1,64,64
79475,17162376,2,330,64,1,64,64
79476,17162895,2,494,64,1,64,64
79477,17163651,2,765,64,1,64,64
79478,17164631,4,386,64,1,64,64
79479,17165454,2,7128,64,1,64,64
79480,17165574,4,3214,64,1,64,64
79481,17166399,2,15,32,1,32,32
79482,17166513,4,9072,256,1,256,256
79483,17166789,16,351,32,1,32,32
79484,17167431,4,577,32,1,32,32
79485,17167890,2,4205,64,1,64,64
79486,17168477,20,201,32,1,32,32
79487,17169529,3,94,32,1,32,32
79488,17170268,2,296,32,1,32,32
79489,17170565,2,160,32,1,32,32
79490,17171410,2,222,32,1,32,32
79491,17171710,93,10643,32,1,32,32
79492,17172087,2,4206,64,1,64,64
79493,17172091,2,237,32,1,32,32
79494,17172433,2,555,32,1,32,32
79495,17173009,3,14,32,1,32,32
79496,17173144,2,305,32,1,32,32
79497,17173432,20,556,32,1,32,32
79498,17174302,3,511,32,1,32,32
79499,17174814,3,558,32,1,32,32
79500,17175587,5,6940,256,1,256,256
79501,17175705,15,384,32,1,32,32
79502,17176121,3,282,32,1,32,32
79503,17176235,9,4428,64,1,64,64
79504,17176861,3,23,32,1,32,32
79505,17177178,2,39,32,1,32,32
79506,17177428,2,41,32,1,32,32
79507,17177939,5,123,32,1,32,32
79508,17178246,12,120,32,1,32,32
79509,17180604,3,4226,64,1,64,64
79510,17182383,64,10821,32,1,32,32
79511,17182530,6,6892,256,1,256,256
79512,17184767,2,4093,64,1,64,64
79513,17188796,2,4173,64,1,64,64
79514,17189426,6,6922,256,1,256,256
79515,17191683,7,1237,64,1,64,64
79516,17192966,2,5177,64,1,64,64
79517,17193204,43630,10554,32,1,32,32
79518,17195453,3,4155,32,1,32,32
79519,17195610,5,21193,128,1,128,128
79520,17196262,4,502,32,1,32,32
79521,17196352,4,6332,512,1,512,512
79522,17196513,4,10326,32,1,32,32
79523,17196778,3,82,32,1,32,32
79524,17196841,4,7335,256,1,256,256
79525,17196873,2,212,128,1,128,128
79526,17197240,3,1289,128,1,128,128
79527,17197951,3,639,32,1,32,32
79528,17198078,2,7339,64,1,64,64
79529,17198798,4,33,128,1,128,128
79530,17199149,3,1240,128,1,128,128
79531,17199555,4,51,128,1,128,128
79532,17199723,2,42,128,1,128,128
79533,17199910,3,1095,32,1,32,32
79534,17200207,3,5521,32,1,32,32
79535,17200290,3,5440,32,1,32,32
79536,17200482,3,1146,32,1,32,32
79537,17200539,3,73,128,1,128,128
79538,17200620,5,524,64,1,64,64
79539,17200722,2,120,128,1,128,128
79540,17200968,5,1363,128,1,128,128
79541,17201014,3,919,32,1,32,32
79542,17201146,5,20,128,1,128,128
79543,17201266,3,353,64,1,64,64
79544,17201337,296,702,32,1,32,32
79545,17201828,4,18,32,1,32,32
79546,17201894,4,464,64,1,64,64
79547,17201938,3,2388,32,1,32,32
79548,17201986,3,437,128,1,128,128
79549,17202072,2,900,128,1,128,128
79550,17202232,33,44,32,1,32,32
79551,17202264,0,70,32,1,32,32
79552,17202440,3,1256,32,1,32,32
79553,17202486,2,420,64,1,64,64
79554,17202503,2,3182,32,1,32,32
79555,17202509,4,800,128,1,128,128
79556,17202685,6,4333,512,1,512,512
79557,17202694,3,50,32,1,32,32
79558,17202994,3,3845,64,1,64,64
79559,17203060,2,150,32,1,32,32
79560,17203092,5,491,64,1,64,64
79561,17203288,3,724,128,1,128,128
79562,17203310,5,393,128,1,128,128
79563,17203566,4,3931,32,1,32,32
79564,17203589,2,56,32,1,32,32
79565,17203686,2,6061,64,1,64,64
79566,17203758,2,648,64,1,64,64
79567,17204033,2994,58,512,1,512,512
79568,17204453,2,348,256,1,256,256
79569,17204490,2,22,32,1,32,32
79570,17204657,2,6723,32,1,32,32
79571,17205223,3,1834,256,1,256,256
79572,17205414,2,7431,64,1,64,64
79573,17205479,0,60,64,1,64,64
79574,17206024,3,120,32,1,32,32
79575,17206569,6,117,32,1,32,32
79576,17207010,3,3043,32,1,32,32
79577,17207022,39,6949,256,1,256,256
79578,17207637,3,123,32,1,32,32
79579,17207814,2,5616,128,1,128,128
79580,17207905,3,176,512,1,512,512
79581,17208028,3,119,32,1,32,32
79582,17208045,3,2200,32,1,32,32
79583,17208074,12,162,512,1,512,512
79584,17208290,3,54,32,1,32,32
79585,17208560,2,176,512,1,512,512
79586,17208915,2,620,32,1,32,32
79587,17208966,2,11319,512,1,512,512
79588,17209365,3,32,32,1,32,32
79589,17209757,3,1595,32,1,32,32
79590,17209887,4,171,32,1,32,32
79591,17210065,2,1975,64,1,64,64
79592,17210091,2,10619,128,1,128,128
79593,17210215,4,51,32,1,32,32
79594,17210272,3,304,32,1,32,32
79595,17210292,4,18,32,1,32,32
79596,17210375,2,58,32,1,32,32
79597,17210453,3,141,32,1,32,32
79598,17210610,3,5144,32,1,32,32
79599,17211326,3,16,32,1,32,32
79600,17211490,3,13,32,1,32,32
79601,17212053,5,2297,32,1,32,32
79602,17212264,2,105,64,1,64,64
79603,17212522,3,22,32,1,32,32
79604,17212700,2,10946,64,1,64,64
79605,17212782,2,8779,64,1,64,64
79606,17213446,2,8402,128,1,128,128
79607,17213655,4,3677,32,1,32,32
79608,17213770,3,2819,32,1,32,32
79609,17214008,5,7064,256,1,256,256
79610,17214555,3,5033,32,1,32,32
79611,17214592,3,2618,32,1,32,32
79612,17215667,3,86,32,1,32,32
79613,17216361,4,40,32,1,32,32
79614,17216518,4,29,32,1,32,32
79615,17216525,2,4470,128,1,128,128
79616,17216632,4,197,32,1,32,32
79617,17216742,3,2770,32,1,32,32
79618,17217369,2,4260,64,1,64,64
79619,17217536,37,47,32,1,32,32
79620,17217598,3,138,64,1,64,64
79621,17217853,6,579,64,1,64,64
79622,17218005,4,1604,32,1,32,32
79623,17218092,14,30,32,1,32,32
79624,17218122,3,2165,128,1,128,128
79625,17218130,2,896,32,1,32,32
79626,17218275,4,2044,32,1,32,32
79627,17218493,3,5419,32,1,32,32
79628,17218559,3,263,32,1,32,32
79629,17219228,3,1055,64,1,64,64
79630,17219241,3,1467,32,1,32,32
79631,17219310,3,17,32,1,32,32
79632,17219336,2,285,32,1,32,32
79633,17219473,3,69,64,1,64,64
79634,17219546,3,4535,32,1,32,32
79635,17220028,4,30,32,1,32,32
79636,17220072,3,884,128,1,128,128
79637,17220078,4,26,32,1,32,32
79638,17220100,4,290,64,1,64,64
79639,17220279,3,47,32,1,32,32
79640,17220348,3,27,32,1,32,32
79641,17220447,2,2373,64,1,64,64
79642,17220468,26921,2140,32,1,32,32
79643,17220481,6,4010,32,1,32,32
79644,17220954,7,1923,128,1,128,128
79645,17220987,3,12,32,1,32,32
79646,17221041,2,1064,64,1,64,64
79647,17221072,9,15497,256,1,256,256
79648,17221086,3,325,32,1,32,32
79649,17221144,3,42,32,1,32,32
79650,17221377,5,167,32,1,32,32
79651,17221550,2,10929,64,1,64,64
79652,17221562,3,5755,128,1,128,128
79653,17221630,3,2883,64,1,64,64
79654,17221839,4,48,32,1,32,32
79655,17222117,3,10,32,1,32,32
79656,17222245,6,15,32,1,32,32
79657,17222254,2,7350,128,1,128,128
79658,17222380,3,6476,512,1,512,512
79659,17222403,4,12,32,1,32,32
79660,17222462,2,44,32,1,32,32
79661,17222553,4,6349,32,1,32,32
79662,17222729,3,79,32,1,32,32
79663,17222992,7,3154,32,1,32,32
79664,17223144,3,828,128,1,128,128
79665,17223404,5,17,128,1,128,128
79666,17223552,3,37,128,1,128,128
79667,17223724,3,652,128,1,128,128
79668,17223750,3,885,128,1,128,128
79669,17224020,5,1158,32,1,32,32
79670,17224071,6,4969,32,1,32,32
79671,17224503,2,3332,64,1,64,64
79672,17224635,5,2404,32,1,32,32
79673,17225035,4,274,64,1,64,64
79674,17225456,2,9687,128,1,128,128
79675,17226060,2,259,64,1,64,64
79676,17226340,3,10708,64,1,64,64
79677,17226933,3,123,32,1,32,32
79678,17226945,6,80,64,1,64,64
79679,17227155,2,5766,128,1,128,128
79680,17227505,2,179,64,1,64,64
79681,17227691,8,31,32,1,32,32
79682,17228047,2,131,64,1,64,64
79683,17228626,3,4501,32,1,32,32
79684,17228872,10,16,64,1,64,64
79685,17228995,3,1038,64,1,64,64
79686,17229034,6,4028,32,1,32,32
79687,17229387,7456,10400,128,1,128,128
79688,17229607,5,525,64,1,64,64
79689,17229787,3,2396,64,1,64,64
79690,17230148,3,36,32,1,32,32
79691,17230233,3,51,512,1,512,512
79692,17230301,2,18923,512,1,512,512
79693,17230311,0,46,512,1,512,512
79694,17230324,3,948,64,1,64,64
79695,17230402,2,16,128,1,128,128
79696,17230542,3,243,128,1,128,128
79697,17230573,4,46,128,1,128,128
79698,17230783,7,426,128,1,128,128
79699,17231685,3,4937,64,1,64,64
79700,17231723,2,554,128,1,128,128
79701,17232182,6,108,64,1,64,64
79702,17232250,48,4632,64,1,64,64
79703,17232410,3,1348,32,1,32,32
79704,17232999,4,3767,32,1,32,32
79705,17233068,0,62,32,1,32,32
79706,17234846,5,24,32,1,32,32
79707,17236576,5,7040,256,1,256,256
79708,17236703,3,3781,32,1,32,32
79709,17236770,0,62,32,1,32,32
79710,17240424,65,3594,32,1,32,32
79711,17243618,5610,10706,512,1,512,512
79712,17244021,64,3575,32,1,32,32
79713,17247326,2205,10833,32,1,32,32
79714,17247593,2,3615,32,1,32,32
79715,17247660,0,60,32,1,32,32
79716,17248582,3,7494,128,1,128,128
79717,17251147,64,3569,32,1,32,32
79718,17251280,0,60,32,1,32,32
79719,17253240,3,151,32,1,32,32
79720,17253970,3,4930,64,1,64,64
79721,17254044,0,59,64,1,64,64
79722,17254717,64,3630,32,1,32,32
79723,17255313,3,24,32,1,32,32
79724,17258347,66,3516,32,1,32,32
79725,17258837,2,4098,64,1,64,64
79726,17260301,65,10625,32,1,32,32
79727,17261866,65,3518,32,1,32,32
79728,17262871,2,4233,64,1,64,64
79729,17265386,64,3481,32,1,32,32
79730,17267040,3,4136,64,1,64,64
79731,17268929,4,3649,32,1,32,32
79732,17270929,64,10832,32,1,32,32
79733,17271174,2,4094,64,1,64,64
79734,17272517,68,3483,32,1,32,32
79735,17272652,0,61,32,1,32,32
79736,17275204,2,4181,64,1,64,64
79737,17276004,65,3485,32,1,32,32
79738,17279322,3,4804,64,1,64,64
79739,17279492,63,3549,32,1,32,32
79740,17281762,64,10572,32,1,32,32
79741,17282088,3,1017,128,1,128,128
79742,17282889,2,19,64,1,64,64
79743,17282959,4,72,64,1,64,64
79744,17283041,64,3537,32,1,32,32
79745,17283223,4,901,128,1,128,128
79746,17283266,0,54,128,1,128,128
79747,17283581,6,1508,128,1,128,128
79748,17283608,4,122,64,1,64,64
79749,17284083,2,7254,64,1,64,64
79750,17285797,2,615,512,1,512,512
79751,17285855,4,10744,64,1,64,64
79752,17286418,3,11438,512,1,512,512
79753,17286579,65,3514,32,1,32,32
79754,17286712,0,60,32,1,32,32
79755,17290094,65,3552,32,1,32,32
79756,17290228,0,62,32,1,32,32
79757,17291272,3,8643,64,1,64,64
79758,17292336,64,10983,32,1,32,32
79759,17293647,65,3536,32,1,32,32
79760,17296648,2,10829,64,1,64,64
79761,17297185,65,3597,32,1,32,32
79762,17299731,3,7574,512,1,512,512
79763,17299851,3,6380,64,1,64,64
79764,17300356,3,488,256,1,256,256
79765,17300449,2,10225,128,1,128,128
79766,17300552,2,4672,128,1,128,128
79767,17300782,67,3874,32,1,32,32
79768,17300907,3,21,256,1,256,256
79769,17300909,0,21,32,1,32,32
79770,17301105,3,5125,256,1,256,256
79771,17303320,65,10697,32,1,32,32
79772,17303620,19575,20,128,1,128,128
79773,17303780,21370,19838,256,1,256,256
79774,17304659,66,3548,32,1,32,32
79775,17306185,2,4488,64,1,64,64
79776,17307060,3,4097,128,1,128,128
79777,17308007,2,2518,32,1,32,32
79778,17308212,63,4633,32,1,32,32
79779,17309203,3,74,512,1,512,512
79780,17309968,2,7736,512,1,512,512
79781,17310652,2,5002,64,1,64,64
79782,17310919,2,6946,128,1,128,128
79783,17310993,2,105,64,1,64,64
79784,17311028,2,1602,64,1,64,64
79785,17311715,1564,864,128,1,128,128
79786,17312844,66,4642,32,1,32,32
79787,17314019,64,10859,32,1,32,32
79788,17314098,0,44,32,1,32,32
79789,17315193,2,602,128,1,128,128
79790,17315384,2,1675,32,1,32,32
79791,17315570,3,6193,64,1,64,64
79792,17315930,3,9214,256,1,256,256
79793,17316002,3,2500,64,1,64,64
79794,17316055,2,1114,128,1,128,128
79795,17317546,7,4849,32,1,32,32
79796,17317569,0,22,32,1,32,32
79797,17317702,6,29,512,1,512,512
79798,17317714,26,1548,512,1,512,512
79799,17317881,2,2223,128,1,128,128
79800,17317898,1,755,128,1,128,128
79801,17319281,9,5394,512,1,512,512
79802,17319841,3,2480,64,1,64,64
79803,17319868,2,1745,32,1,32,32
79804,17321700,2,5592,64,1,64,64
79805,17322339,64,4999,32,1,32,32
79806,17322474,0,59,32,1,32,32
79807,17324398,3,577,128,1,128,128
79808,17324464,3,1716,32,1,32,32
79809,17324663,24,5426,512,1,512,512
79810,17324718,262,3307,64,1,64,64
79811,17324936,7,10600,32,1,32,32
79812,17326709,4,689,128,1,128,128
79813,17326774,630,1611,32,1,32,32
79814,17327085,17905,754,256,1,256,256
79815,17327284,3,5019,64,1,64,64
79816,17327342,72,4425,32,1,32,32
79817,17330106,9,5439,512,1,512,512
79818,17331777,64,3511,32,1,32,32
79819,17332241,3,4374,64,1,64,64
79820,17335287,67,4712,32,1,32,32
79821,17335527,19,10464,32,1,32,32
79822,17335541,15,13030,512,1,512,512
79823,17335561,0,77,32,1,32,32
79824,17336612,2,6084,64,1,64,64
79825,17337465,3,472,128,1,128,128
79826,17337511,2,1696,32,1,32,32
79827,17337757,184,9887,64,1,64,64
79828,17338230,981,556,128,1,128,128
79829,17339930,2,578,128,1,128,128
79830,17340060,8,3851,32,1,32,32
79831,17340137,0,66,32,1,32,32
79832,17342631,3,6312,64,1,64,64
79833,17343915,6,3643,32,1,32,32
79834,17345946,65,10890,32,1,32,32
79835,17347502,65,3507,32,1,32,32
79836,17348579,11,7890,256,1,256,256
79837,17348881,3,4428,64,1,64,64
79838,17351011,64,3477,32,1,32,32
79839,17353246,3,4418,64,1,64,64
79840,17354488,66,3541,32,1,32,32
79841,17354624,0,59,32,1,32,32
79842,17356452,39,8240,256,1,256,256
79843,17356839,64,10496,32,1,32,32
79844,17357602,2,4460,64,1,64,64
79845,17358032,65,3514,32,1,32,32
79846,17361548,64,3493,32,1,32,32
79847,17361998,3,4311,64,1,64,64
79848,17364724,9,2940,512,1,512,512
79849,17365040,67,3486,32,1,32,32
79850,17366247,2,4491,64,1,64,64
79851,17367337,63,10735,32,1,32,32
79852,17367667,10,15104,256,1,256,256
79853,17368529,65,3579,32,1,32,32
79854,17368663,0,61,32,1,32,32
79855,17370674,3,4886,64,1,64,64
79856,17372043,3,658,64,1,64,64
79857,17372110,65,3710,32,1,32,32
79858,17372245,0,59,32,1,32,32
79859,17375498,2,4910,64,1,64,64
79860,17375822,65,3501,32,1,32,32
79861,17378131,6,10517,32,1,32,32
79862,17378414,4,734,512,1,512,512
79863,17379323,66,3525,32,1,32,32
79864,17380343,4,4608,64,1,64,64
79865,17382085,3,15821,512,1,512,512
79866,17382589,2,10749,128,1,128,128
79867,17382774,9,10807,256,1,256,256
79868,17382852,64,3627,32,1,32,32
79869,17382985,0,59,32,1,32,32
79870,17383825,4,317,128,1,128,128
79871,17384890,2,4451,64,1,64,64
79872,17386479,65,3545,32,1,32,32
79873,17386613,0,61,32,1,32,32
79874,17388590,66,10809,32,1,32,32
79875,17389278,2,4295,64,1,64,64
79876,17390026,65,5520,32,1,32,32
79877,17391017,3,4843,32,1,32,32
79878,17393538,2,4721,64,1,64,64
79879,17393580,13,7469,256,1,256,256
79880,17395548,65,4492,32,1,32,32
79881,17396157,3,870,32,1,32,32
79882,17397180,3,364,32,1,32,32
79883,17398195,2,4357,64,1,64,64
79884,17398793,3,5211,128,1,128,128
79885,17399049,2,253,32,1,32,32
79886,17399403,64,10529,32,1,32,32
79887,17399904,6,450,32,1,32,32
79888,17399929,3,58383,512,1,512,512
79889,17399954,173,5731,32,1,32,32
79890,17400884,4,597,32,1,32,32
79891,17401399,5,6783,256,1,256,256
79892,17401509,2,6419,32,1,32,32
79893,17402487,3,4256,64,1,64,64
79894,17404020,2,4820,128,1,128,128
79895,17405794,65,5647,32,1,32,32
79896,17406679,2,4245,64,1,64,64
79897,17408184,6,6779,256,1,256,256
79898,17408447,2,896,32,1,32,32
79899,17409447,2,199,32,1,32,32
79900,17409684,3,7300,32,1,32,32
79901,17409934,63,10835,32,1,32,32
79902,17410861,2,4212,64,1,64,64
79903,17411441,66,6346,32,1,32,32
79904,17414956,15,6739,256,1,256,256
79905,17415060,7,4171,64,1,64,64
79906,17417790,65,3627,32,1,32,32
79907,17419173,2,4221,64,1,64,64
79908,17420770,64,10605,32,1,32,32
79909,17421420,64,3637,32,1,32,32
79910,17421555,0,58,32,1,32,32
79911,17421707,6,6837,256,1,256,256
79912,17423330,3,4238,64,1,64,64
79913,17425057,65,3671,32,1,32,32
79914,17425191,0,61,32,1,32,32
79915,17427504,3,4220,64,1,64,64
79916,17428546,6,6742,256,1,256,256
79917,17428729,65,3581,32,1,32,32
79918,17431376,64,10840,32,1,32,32
79919,17431661,2,4145,64,1,64,64
79920,17432313,63,3589,32,1,32,32
79921,17435291,5,6772,256,1,256,256
79922,17435743,2,4334,64,1,64,64
79923,17435902,64,3672,32,1,32,32
79924,17439575,65,3590,32,1,32,32
79925,17439709,0,64,32,1,32,32
79926,17440073,2,4346,64,1,64,64
79927,17442063,8,6783,256,1,256,256
79928,17442218,54899,10528,32,1,32,32
79929,17443162,3,3631,32,1,32,32
79930,17444345,12,4145,64,1,64,64
79931,17446730,2,3823,32,1,32,32
79932,17448437,3,4167,64,1,64,64
79933,17448851,6,6751,256,1,256,256
79934,17450487,3,3505,32,1,32,32
79935,17450555,0,59,32,1,32,32
79936,17450804,3,164,64,1,64,64
79937,17452542,2,4220,64,1,64,64
79938,17453927,3,3661,32,1,32,32
79939,17455604,7,6746,256,1,256,256
79940,17456749,7,4164,64,1,64,64
79941,17457522,3,534,32,1,32,32
79942,17458186,4,71,32,1,32,32
79943,17458578,2,118,128,1,128,128
79944,17458939,3,112,128,1,128,128
79945,17459537,3,288,128,1,128,128
79946,17459937,3,47,128,1,128,128
79947,17460101,4,207,128,1,128,128
79948,17460511,3,187,128,1,128,128
79949,17460885,3,6804,64,1,64,64
79950,17460919,3,220,128,1,128,128
79951,17460949,3,2338,32,1,32,32
79952,17461085,3,638,32,1,32,32
79953,17461396,2,1048,128,1,128,128
79954,17461620,2,197,64,1,64,64
79955,17461872,2,2831,64,1,64,64
79956,17462005,3,3978,32,1,32,32
79957,17462353,7,6731,256,1,256,256
79958,17462368,3,1765,32,1,32,32
79959,17462796,4,5734,32,1,32,32
79960,17463752,3,4563,64,1,64,64
79961,17464155,5,4697,32,1,32,32
79962,17464407,2,115,64,1,64,64
79963,17464756,3,4039,64,1,64,64
79964,17464928,3,16032,32,1,32,32
79965,17465793,3,2522,128,1,128,128
79966,17466503,3,8468,64,1,64,64
79967,17466588,3,351,64,1,64,64
79968,17466827,4,4282,32,1,32,32
79969,17467102,4,389,64,1,64,64
79970,17467685,3,8465,64,1,64,64
79971,17467700,3,709,32,1,32,32
79972,17467737,2,474,64,1,64,64
79973,17468314,6,1238,64,1,64,64
79974,17468338,756,2362,256,1,256,256
79975,17468474,2,723,64,1,64,64
79976,17468515,3,225,512,1,512,512
79977,17468860,3,3987,64,1,64,64
79978,17468957,3,89,512,1,512,512
79979,17468965,3,590,32,1,32,32
79980,17469089,15,7294,512,1,512,512
79981,17469216,3,5991,64,1,64,64
79982,17469369,2,35,128,1,128,128
79983,17469633,2,93,128,1,128,128
79984,17469747,3,5224,64,1,64,64
79985,17469956,2,33,128,1,128,128
79986,17470203,2,29,128,1,128,128
79987,17470468,3,39,128,1,128,128
79988,17470704,5,33,32,1,32,32
79989,17470750,3,91,32,1,32,32
79990,17470871,3,1451,32,1,32,32
79991,17471166,291,3150,256,1,256,256
79992,17471223,3,7030,32,1,32,32
79993,17471277,0,26,32,1,32,32
79994,17471281,3,2306,32,1,32,32
79995,17471525,17,44,32,1,32,32
79996,17471706,3,31,32,1,32,32
79997,17471929,2,6641,128,1,128,128
79998,17472135,3,8661,32,1,32,32
79999,17472870,4,1614,64,1,64,64
80000,17473601,4,2194,32,1,32,32
80001,17473704,3,20,32,1,32,32
80002,17473835,3,143,128,1,128,128
80003,17474019,3,229,128,1,128,128
80004,17474032,0,59,128,1,128,128
80005,17474301,2,3016,128,1,128,128
80006,17474757,4,6813,128,1,128,128
80007,17475004,4,677,256,1,256,256
80008,17475243,2,1805,64,1,64,64
80009,17475744,4,198,256,1,256,256
80010,17475772,4,5122,64,1,64,64
80011,17475808,3,1658,32,1,32,32
80012,17475854,3,1989,64,1,64,64
80013,17475945,4,782,32,1,32,32
80014,17475952,3,32,32,1,32,32
80015,17476057,3,218,32,1,32,32
80016,17476146,3,6805,64,1,64,64
80017,17476315,3,151,256,1,256,256
80018,17476370,7,91,32,1,32,32
80019,17476392,10,7413,512,1,512,512
80020,17476472,3,7986,32,1,32,32
80021,17476644,3,671,32,1,32,32
80022,17476933,4,169,32,1,32,32
80023,17477037,810,1795,64,1,64,64
80024,17477465,910,2084,32,1,32,32
80025,17477613,2,87,32,1,32,32
80026,17477649,3,159,256,1,256,256
80027,17477754,3,41,32,1,32,32
80028,17477829,3,251,32,1,32,32
80029,17477908,666,389,128,1,128,128
80030,17477913,3,588,256,1,256,256
80031,17478124,2,254,64,1,64,64
80032,17478364,7,1551,32,1,32,32
80033,17478586,379,8228,128,1,128,128
80034,17479162,3,56,256,1,256,256
80035,17479667,3,1998,128,1,128,128
80036,17480058,2,33,32,1,32,32
80037,17480254,2,338,32,1,32,32
80038,17480465,7,8382,32,1,32,32
80039,17480525,8,4004,64,1,64,64
80040,17480595,7,225,32,1,32,32
80041,17480858,2,112,32,1,32,32
80042,17480863,2,736,32,1,32,32
80043,17480898,0,65,32,1,32,32
80044,17481120,2,169,32,1,32,32
80045,17481137,2,185,32,1,32,32
80046,17481432,2,230,32,1,32,32
80047,17481662,4,838,32,1,32,32
80048,17481822,2,7605,32,1,32,32
80049,17481851,2,28,64,1,64,64
80050,17481876,3,4251,64,1,64,64
80051,17481932,2,1457,64,1,64,64
80052,17481951,2,126,64,1,64,64
80053,17482129,2,1803,128,1,128,128
80054,17482220,3,1718,32,1,32,32
80055,17482499,6,148,32,1,32,32
80056,17482616,38,452,32,1,32,32
80057,17482761,347,778,32,1,32,32
80058,17482893,2,6164,64,1,64,64
80059,17482976,2,80,64,1,64,64
80060,17483236,12787,61,128,1,128,128
80061,17483516,2,72,64,1,64,64
80062,17483590,0,871,32,1,32,32
80063,17483596,2,1026,64,1,64,64
80064,17483600,2,648,64,1,64,64
80065,17483606,119318,19,256,1,256,256
80066,17483616,271,114,32,1,32,32
80067,17483654,0,807,32,1,32,32
80068,17483810,9,6738,256,1,256,256
80069,17484004,3,3427,64,1,64,64
80070,17484268,23378,2493,32,1,32,32
80071,17484441,7,819,32,1,32,32
80072,17484518,0,145,32,1,32,32
80073,17484518,0,225,32,1,32,32
80074,17484678,3,320,512,1,512,512
80075,17484734,10,866,32,1,32,32
80076,17484834,0,704,32,1,32,32
80077,17484834,0,704,32,1,32,32
80078,17485045,3,199,64,1,64,64
80079,17485093,2,4024,128,1,128,128
80080,17485201,2,73,64,1,64,64
80081,17485260,9,404,32,1,32,32
80082,17485296,379,7225,32,1,32,32
80083,17485465,4,1664,128,1,128,128
80084,17485598,0,75,32,1,32,32
80085,17485635,0,37,32,1,32,32
80086,17485866,3,622,32,1,32,32
80087,17486025,0,92,32,1,32,32
80088,17486060,0,56,32,1,32,32
80089,17486111,7,178,64,1,64,64
80090,17486116,0,547,32,1,32,32
80091,17486116,0,547,32,1,32,32
80092,17486477,16,39,32,1,32,32
80093,17486490,44,595,32,1,32,32
80094,17486743,0,78,32,1,32,32
80095,17486743,0,79,32,1,32,32
80096,17486821,0,554,32,1,32,32
80097,17486821,0,554,32,1,32,32
