S_ime,W_time,R_time,Processors,id,type,Max_resource,Min_resource
17504074,5,6775,256,39374,1,256,256
17505841,2,5873,128,39375,1,128,128
17506611,3,47,64,39376,1,64,64
17506967,3,4590,64,39377,1,64,64
17507523,58,3557,32,39378,1,32,32
17507578,2563,10803,32,39379,1,32,32
17507644,0,47,32,39380,1,32,32
17507689,3,41,64,39381,1,64,64
17509286,2,40,64,39382,1,64,64
17510852,6,6787,256,39383,1,256,256
17511091,48,4409,32,39384,1,32,32
17511136,9,547,32,39385,1,32,32
17511521,2,4523,64,39386,1,64,64
17511701,4,183,32,39387,1,32,32
17511841,146,39139,512,39388,1,512,512
17512099,3,46,64,39389,1,64,64
17512536,3,44,64,39390,1,64,64
17513151,3,48,64,39391,1,64,64
17513495,3,49,64,39392,1,64,64
17513674,2,582,32,39393,1,32,32
17514723,2,861,32,39394,1,32,32
17515406,3,46,64,39395,1,64,64
17515486,63,3905,32,39396,1,32,32
17515942,3,38,64,39397,1,64,64
17515984,3,4283,64,39398,1,64,64
17516046,3,834,32,39399,1,32,32
17517642,6,6772,256,39400,1,256,256
17518356,20860,12028,128,39401,1,128,128
17519450,6,3537,32,39402,1,32,32
17520203,2,4211,64,39403,1,64,64
17520882,63,10535,32,39404,1,32,32
17522931,64,3829,32,39405,1,32,32
17524365,9,4129,64,39406,1,64,64
17524418,26711,15658,512,39407,1,512,512
17526761,65,3541,32,39408,1,32,32
17526895,0,61,32,39409,1,32,32
17528435,3,4091,64,39410,1,64,64
17530304,65,3801,32,39411,1,32,32
17531417,50980,10797,32,39412,1,32,32
17532464,2,4216,64,39413,1,64,64
17534093,13,212,32,39414,1,32,32
17534170,0,60,32,39415,1,32,32
17535445,9,31,128,39416,1,128,128
17535657,3,15583,128,39417,1,128,128
17536069,8,3813,64,39418,1,64,64
17536616,2,6794,64,39419,1,64,64
17538647,10,12702,64,39420,1,64,64
17539789,3,16,256,39421,1,256,256
17542784,4,8688,32,39422,1,32,32
17542859,5,24231,32,39423,1,32,32
17543829,5,7641,32,39424,1,32,32
17545094,6107,42,256,39425,1,256,256
17547724,3522,15641,128,39426,1,128,128
17549306,2055,15597,64,39427,1,64,64
17550600,31806,18530,128,39428,1,128,128
17552432,9,14569,32,39429,1,32,32
17553747,13142,4782,128,39430,1,128,128
17554272,12574,41,256,39431,1,256,256
17554633,38562,4411,32,39432,1,32,32
17554791,42816,214,32,39433,1,32,32
17555051,11910,20,64,39434,1,64,64
17556414,10597,3952,32,39435,1,32,32
17556760,10210,6504,64,39436,1,64,64
17558171,8850,5765,32,39437,1,32,32
17560086,6940,3135,32,39438,1,32,32
17565558,1478,3927,32,39439,1,32,32
17565896,1150,3917,32,39440,1,32,32
17567151,3,8067,32,39441,1,32,32
17567232,4,40,256,39442,1,256,256
17567278,2,7124,128,39443,1,128,128
17567288,3,148,512,39444,1,512,512
17567424,4,77,32,39445,1,32,32
17567548,3,2683,32,39446,1,32,32
17567760,2,32,64,39447,1,64,64
17567911,2,141,512,39448,1,512,512
17568005,2,6520,64,39449,1,64,64
17568302,4,262,32,39450,1,32,32
17568441,5,893,32,39451,1,32,32
17568471,2,65,64,39452,1,64,64
17568705,4,150,512,39453,1,512,512
17568933,3,81,64,39454,1,64,64
17569078,2,56,128,39455,1,128,128
17569167,4,1164,512,39456,1,512,512
17569228,7,60,64,39457,1,64,64
17569330,5,3026,32,39458,1,32,32
17569861,3,157,64,39459,1,64,64
17569926,2,66,128,39460,1,128,128
17569960,3,430,32,39461,1,32,32
17570150,12,66,32,39462,1,32,32
17570352,4,69,64,39463,1,64,64
17570693,3,50,128,39464,1,128,128
17570848,3,578,32,39465,1,32,32
17570889,2,232,128,39466,1,128,128
17570964,2,109,64,39467,1,64,64
17571036,0,36,64,39468,1,64,64
17571243,3,253,128,39469,1,128,128
17571336,3,7970,512,39470,1,512,512
17571343,3,1380,32,39471,1,32,32
17571739,3,287,32,39472,1,32,32
17572093,2,78,64,39473,1,64,64
17572278,5,323,32,39474,1,32,32
17572526,4,6492,256,39475,1,256,256
17572534,3,419,128,39476,1,128,128
17573401,4,82,64,39477,1,64,64
17573687,2,371,64,39478,1,64,64
17574092,2,312,128,39479,1,128,128
17575264,2,29,64,39480,1,64,64
17575329,3,4048,32,39481,1,32,32
17575343,2,31,128,39482,1,128,128
17575486,3,43,64,39483,1,64,64
17575535,3,83,32,39484,1,32,32
17576397,2,484,64,39485,1,64,64
17576950,2,345,64,39486,1,64,64
17577536,4,20,32,39487,1,32,32
17578339,3,20,64,39488,1,64,64
17578399,2,804,64,39489,1,64,64
17579016,10,6480,256,39490,1,256,256
17579226,3,21,32,39491,1,32,32
17579251,60,7334,512,39492,1,512,512
17579514,3,296,32,39493,1,32,32
17580034,11975,4143,256,39494,1,256,256
17580175,3,130,32,39495,1,32,32
17580217,2,4116,64,39496,1,64,64
17584621,3,3992,64,39497,1,64,64
17585500,8,6498,256,39498,1,256,256
17586643,4,7271,512,39499,1,512,512
17587307,27443,11464,512,39500,1,512,512
17592000,1920,6115,512,39501,1,512,512
17593132,4690,10528,32,39502,1,32,32
17593916,2238,6767,256,39503,1,256,256
17594659,30944,3768,128,39504,1,128,128
17597234,3,42,32,39505,1,32,32
17597293,3,37,64,39506,1,64,64
17597437,2,36,64,39507,1,64,64
17600030,8,4214,512,39508,1,512,512
17602287,4,45,64,39509,1,64,64
17602828,2,35,128,39510,1,128,128
17602919,26,6777,256,39511,1,256,256
17604244,10,10492,512,39512,1,512,512
17606376,3,36,128,39513,1,128,128
17606906,2,42,128,39514,1,128,128
17607106,5,59,128,39515,1,128,128
17607569,3,22,128,39516,1,128,128
17608035,3,70,128,39517,1,128,128
17608343,8,10522,32,39518,1,32,32
17608349,9,4129,128,39519,1,128,128
17609716,9,6752,256,39520,1,256,256
17618810,49995,10701,32,39521,1,32,32
17624930,2,1804,64,39522,1,64,64
17627134,3,8229,512,39523,1,512,512
17627455,3,11,32,39524,1,32,32
17627834,3,4209,64,39525,1,64,64
17630321,2,4108,256,39526,1,256,256
17630732,3,6371,128,39527,1,128,128
17632274,2,46,128,39528,1,128,128
17632357,2,1537,128,39529,1,128,128
17632363,3,295,32,39530,1,32,32
17632594,3,5618,32,39531,1,32,32
17632784,3,6493,128,39532,1,128,128
17633029,3,844,32,39533,1,32,32
17633440,11,4509,32,39534,1,32,32
17633876,3,137,64,39535,1,64,64
17634063,5,653,128,39536,1,128,128
17634382,2,803,64,39537,1,64,64
17634394,328,3100,128,39538,1,128,128
17634419,18,4113,256,39539,1,256,256
17634429,4,149,32,39540,1,32,32
17634569,3,213,32,39541,1,32,32
17635103,9,226,32,39542,1,32,32
17635137,3,279,128,39543,1,128,128
17635294,74,1309,512,39544,1,512,512
17635410,2,145,64,39545,1,64,64
17635572,4,161,32,39546,1,32,32
17635639,5,306,32,39547,1,32,32
17635769,910,11531,512,39548,1,512,512
17636211,3,163,32,39549,1,32,32
17636225,32587,187,128,39550,1,128,128
17637316,3,3738,64,39551,1,64,64
17637461,3,115,32,39552,1,32,32
17637586,2,350,64,39553,1,64,64
17637806,3,306,32,39554,1,32,32
17637902,3,4021,32,39555,1,32,32
17637979,3,20,32,39556,1,32,32
17638219,41289,217,32,39557,1,32,32
17638224,41503,9,32,39558,1,32,32
17638468,3,234,32,39559,1,32,32
17638487,66,3829,256,39560,1,256,256
17638902,3,627,32,39561,1,32,32
17643068,478,4202,32,39562,1,32,32
17643348,210,30,64,39563,1,64,64
17643544,19,96,32,39564,1,32,32
17643876,5,755,32,39565,1,32,32
17644481,5,14698,32,39566,1,32,32
17645268,2,1324,64,39567,1,64,64
17645995,3,41,32,39568,1,32,32
17647242,3,4071,256,39569,1,256,256
17647504,2,4335,128,39570,1,128,128
17647723,3,21,32,39571,1,32,32
17647730,3,18,32,39572,1,32,32
17648089,3229,15606,256,39573,1,256,256
17648404,2,4189,64,39574,1,64,64
17648992,3,516,512,39575,1,512,512
17649450,63,5818,512,39576,1,512,512
17649454,3,490,32,39577,1,32,32
17649510,5824,17,512,39578,1,512,512
17649735,3,82,64,39579,1,64,64
17649784,2,7285,128,39580,1,128,128
17649919,3,134,64,39581,1,64,64
17650003,4,329,32,39582,1,32,32
17650111,2,60,64,39583,1,64,64
17650349,4,203,32,39584,1,32,32
17650452,3,184,64,39585,1,64,64
17650493,96464,14606,512,39586,1,512,512
17650568,3,515,32,39587,1,32,32
17651154,4,26,32,39588,1,32,32
17651389,3,15,32,39589,1,32,32
17651469,3,643,32,39590,1,32,32
17651620,3,179,64,39591,1,64,64
17653171,4,3897,32,39592,1,32,32
17654026,4,49,32,39593,1,32,32
17654162,3,22,32,39594,1,32,32
17654983,3,809,32,39595,1,32,32
17655324,29,56938,512,39596,1,512,512
17655530,3,26,32,39597,1,32,32
17655635,4,20,32,39598,1,32,32
17655664,3,226,64,39599,1,64,64
17655773,3,395,32,39600,1,32,32
17655894,3,1017,32,39601,1,32,32
17655919,2,90,64,39602,1,64,64
17656074,10852,19,256,39603,1,256,256
17656406,3,117,128,39604,1,128,128
17656609,4,67,128,39605,1,128,128
17656891,3,113,128,39606,1,128,128
17656913,2,797,64,39607,1,64,64
17657102,3,6405,128,39608,1,128,128
17657212,3,69,128,39609,1,128,128
17657331,2,6589,128,39610,1,128,128
17657558,2,7318,64,39611,1,64,64
17657576,6,544,64,39612,1,64,64
17658054,3,123,128,39613,1,128,128
17658286,2,2751,64,39614,1,64,64
17658494,3,142,32,39615,1,32,32
17658763,3,2008,128,39616,1,128,128
17658779,111,139,128,39617,1,128,128
17659348,7,117,128,39618,1,128,128
17659642,4,827,32,39619,1,32,32
17659826,2,64,128,39620,1,128,128
17659880,4,3289,32,39621,1,32,32
17660299,3,28,32,39622,1,32,32
17660429,3,78,128,39623,1,128,128
17660632,7,29,32,39624,1,32,32
17661115,2,70,128,39625,1,128,128
17661260,3,28,32,39626,1,32,32
17661271,4,4120,64,39627,1,64,64
17661832,4,2159,32,39628,1,32,32
17661981,4,285,32,39629,1,32,32
17661994,3,1970,64,39630,1,64,64
17662216,959,65,128,39631,1,128,128
17662224,3,49,32,39632,1,32,32
17662578,7,61,32,39633,1,32,32
17662679,4,272,32,39634,1,32,32
17662830,3,268,32,39635,1,32,32
17663213,4,3861,32,39636,1,32,32
17663250,3,276,32,39637,1,32,32
17663536,3,265,32,39638,1,32,32
17663915,3,210,32,39639,1,32,32
17666437,3,348,64,39640,1,64,64
17666803,4,19,32,39641,1,32,32
17666860,87,13797,256,39642,1,256,256
17672464,3,79,64,39643,1,64,64
17672643,2,157,64,39644,1,64,64
17674013,3,44,128,39645,1,128,128
17674221,3,4207,64,39646,1,64,64
17674705,3,52,128,39647,1,128,128
17675187,3,128,128,39648,1,128,128
17675920,3,130,128,39649,1,128,128
17676887,2,340,128,39650,1,128,128
17677868,54529,2268,128,39651,1,128,128
17678824,3,5765,128,39652,1,128,128
17678932,1815,9658,256,39653,1,256,256
17679504,233,10501,32,39654,1,32,32
17681306,4,5467,64,39655,1,64,64
17681875,2,105,64,39656,1,64,64
17682605,3,75,64,39657,1,64,64
17683522,2,79,64,39658,1,64,64
17684288,3,102,64,39659,1,64,64
17684963,2,103,64,39660,1,64,64
17685624,3,105,64,39661,1,64,64
17686551,2,104,64,39662,1,64,64
17688516,4,25,64,39663,1,64,64
17688792,2,51,64,39664,1,64,64
17689273,2,144,64,39665,1,64,64
17689677,2,143,64,39666,1,64,64
17689961,2,139,64,39667,1,64,64
17690197,43,10699,32,39668,1,32,32
17690403,4,7058,256,39669,1,256,256
17690647,2,4443,128,39670,1,128,128
17697463,34801,4424,512,39671,1,512,512
17700895,54342,10618,32,39672,1,32,32
17700938,3,174,64,39673,1,64,64
17702564,2,1919,64,39674,1,64,64
17716672,81732,3471,128,39675,1,128,128
17720966,11566,654,32,39676,1,32,32
17721260,11282,5013,32,39677,1,32,32
17725167,7386,695,32,39678,1,32,32
17732556,3,94,32,39679,1,32,32
17732676,3,977,32,39680,1,32,32
17732886,3,766,32,39681,1,32,32
17733184,4,95,128,39682,1,128,128
17733314,3,16,32,39683,1,32,32
17733637,3,63,128,39684,1,128,128
17733813,4,49,32,39685,1,32,32
17733853,4,965,32,39686,1,32,32
17733870,3,707,256,39687,1,256,256
17733907,5,856,32,39688,1,32,32
17734189,3,60,128,39689,1,128,128
17734589,4,256,256,39690,1,256,256
17734791,5,63,32,39691,1,32,32
17734815,4,38,128,39692,1,128,128
17734862,3,7823,256,39693,1,256,256
17734919,4,893,32,39694,1,32,32
17735132,103,4494,64,39695,1,64,64
17735288,6,31,32,39696,1,32,32
17735686,4,65,128,39697,1,128,128
17735828,4,1391,32,39698,1,32,32
17735879,4,1073,32,39699,1,32,32
17736685,6,10256,512,39700,1,512,512
17737117,28740,7106,32,39701,1,32,32
17737145,35819,7152,32,39702,1,32,32
17737443,3,46,32,39703,1,32,32
17737729,4,193,32,39704,1,32,32
17737744,3,236,32,39705,1,32,32
17738286,3,48,32,39706,1,32,32
17738430,4,531,32,39707,1,32,32
17738957,4,49,32,39708,1,32,32
17739037,4,333,32,39709,1,32,32
17739062,3,73,32,39710,1,32,32
17739109,4,29,32,39711,1,32,32
17739215,4,86,32,39712,1,32,32
17739221,4,116,32,39713,1,32,32
17739452,3,298,32,39714,1,32,32
17739459,4,1285,32,39715,1,32,32
17739527,3,1195,32,39716,1,32,32
17739585,5,1439,32,39717,1,32,32
17739660,4,4347,64,39718,1,64,64
17739768,5,307,128,39719,1,128,128
17739920,3,213,32,39720,1,32,32
17740453,4,263,32,39721,1,32,32
17741275,3,2794,128,39722,1,128,128
17741433,5,20,32,39723,1,32,32
17742364,5,92,128,39724,1,128,128
17742691,4,22,32,39725,1,32,32
17742752,7,3929,32,39726,1,32,32
17743046,4,35,32,39727,1,32,32
17743292,4,3927,32,39728,1,32,32
17743307,4,476,32,39729,1,32,32
17743410,3,5976,32,39730,1,32,32
17743719,3,6538,128,39731,1,128,128
17743962,2,4175,64,39732,1,64,64
17744007,6,11,32,39733,1,32,32
17744163,3,10,32,39734,1,32,32
17744403,4,14,32,39735,1,32,32
17744687,5,10,32,39736,1,32,32
17745017,4,12,32,39737,1,32,32
17745211,4,13,32,39738,1,32,32
17745718,4,301,32,39739,1,32,32
17745778,4,9,32,39740,1,32,32
17745890,3,350,32,39741,1,32,32
17746051,3,136,32,39742,1,32,32
17746297,5,145,32,39743,1,32,32
17746526,4,37,32,39744,1,32,32
17746783,4,149,32,39745,1,32,32
17746891,5,49,32,39746,1,32,32
17746943,9,7275,256,39747,1,256,256
17747229,5,213,32,39748,1,32,32
17747239,6,518,32,39749,1,32,32
17747541,5,716,32,39750,1,32,32
17748010,4,400,32,39751,1,32,32
17748034,4,95,32,39752,1,32,32
17748132,4,5236,64,39753,1,64,64
17748167,3,275,64,39754,1,64,64
17748330,4,1010,32,39755,1,32,32
17748499,3,645,64,39756,1,64,64
17748645,4,11,32,39757,1,32,32
17748665,4,228,32,39758,1,32,32
17749035,3,2379,64,39759,1,64,64
17749093,4,15,32,39760,1,32,32
17749178,5,382,32,39761,1,32,32
17749189,4,17,32,39762,1,32,32
17749276,11,11,32,39763,1,32,32
17749495,4,236,128,39764,1,128,128
17749518,4,42,32,39765,1,32,32
17749530,3,30,32,39766,1,32,32
17749588,2,292,64,39767,1,64,64
17749819,6,151,32,39768,1,32,32
17749827,4,12,32,39769,1,32,32
17750223,4,35,32,39770,1,32,32
17750250,4,151,32,39771,1,32,32
17750412,4,21,32,39772,1,32,32
17750471,6,612,64,39773,1,64,64
17750560,4,33,32,39774,1,32,32
17750724,4,27,32,39775,1,32,32
17750734,4,70,32,39776,1,32,32
17751424,4,19,32,39777,1,32,32
17751862,3,8056,64,39778,1,64,64
17751875,3,1975,64,39779,1,64,64
17753305,3,7170,64,39780,1,64,64
17753969,4,8,64,39781,1,64,64
17754050,4,7408,64,39782,1,64,64
17754061,4,76,32,39783,1,32,32
17754149,2,423,64,39784,1,64,64
17754224,7,7159,256,39785,1,256,256
17754984,3,1271,64,39786,1,64,64
17756515,3,3408,64,39787,1,64,64
17760413,2,5564,64,39788,1,64,64
17761387,7,7197,256,39789,1,256,256
17761579,3,22925,512,39790,1,512,512
17761788,2,4429,64,39791,1,64,64
17763391,2,21,64,39792,1,64,64
17763447,3,532,64,39793,1,64,64
17764024,3,21,32,39794,1,32,32
17764104,4,578,32,39795,1,32,32
17764400,3,648,64,39796,1,64,64
17765079,2,19,32,39797,1,32,32
17765793,14324,10817,32,39798,1,32,32
17765913,2,4143,64,39799,1,64,64
17768588,6,14995,256,39800,1,256,256
17770049,4,4290,64,39801,1,64,64
17773173,2,40,32,39802,1,32,32
17774275,5,4634,64,39803,1,64,64
17774458,2,162,32,39804,1,32,32
17774803,2,112,32,39805,1,32,32
17778908,3,4755,64,39806,1,64,64
17783587,6,11102,256,39807,1,256,256
17783600,2,4494,64,39808,1,64,64
17788090,2,4488,64,39809,1,64,64
17790872,50666,10501,32,39810,1,32,32
17792513,3,5057,64,39811,1,64,64
17794691,8,7167,256,39812,1,256,256
17795304,3,159,512,39813,1,512,512
17795491,4,6562,64,39814,1,64,64
17795906,3,5672,128,39815,1,128,128
17797566,3,6253,64,39816,1,64,64
17798466,3,11527,512,39817,1,512,512
17799510,2,236,64,39818,1,64,64
17802650,3,152,32,39819,1,32,32
17803117,4,76,32,39820,1,32,32
17803205,13,4922,128,39821,1,128,128
17803224,3,143,32,39822,1,32,32
17803359,2,169,32,39823,1,32,32
17803731,3,227,32,39824,1,32,32
17803755,2,2572,64,39825,1,64,64
17805064,3,61,64,39826,1,64,64
17805609,5,5610,128,39827,1,128,128
17806153,2,964,64,39828,1,64,64
17806493,2,5425,256,39829,1,256,256
17806563,2,1301,64,39830,1,64,64
17806573,3,1858,64,39831,1,64,64
17807795,3,683,64,39832,1,64,64
17808072,2,370,64,39833,1,64,64
17808209,2,7787,128,39834,1,128,128
17808215,2,9451,128,39835,1,128,128
17808231,0,55,128,39836,1,128,128
17809192,0,58,32,39837,1,32,32
17809385,2,41,64,39838,1,64,64
17809533,2,968,64,39839,1,64,64
17809744,3,642,32,39840,1,32,32
17810103,3,189,32,39841,1,32,32
17810249,3,1641,512,39842,1,512,512
17810271,9,544,32,39843,1,32,32
17810408,3,109,64,39844,1,64,64
17810410,0,532,32,39845,1,32,32
17810410,0,533,32,39846,1,32,32
17810414,3,1422,32,39847,1,32,32
17810650,2,71,64,39848,1,64,64
17810824,2,1218,64,39849,1,64,64
17810942,0,165,32,39850,1,32,32
17810975,3,1691,128,39851,1,128,128
17811204,2,95,64,39852,1,64,64
17811382,2,442,64,39853,1,64,64
17811430,5,603,64,39854,1,64,64
17811433,0,469,32,39855,1,32,32
17811434,0,468,32,39856,1,32,32
17811808,88,7358,512,39857,1,512,512
17811901,0,127,32,39858,1,32,32
17811990,3,678,128,39859,1,128,128
17812036,3,10264,128,39860,1,128,128
17812126,3,9043,256,39861,1,256,256
17812411,4,115,64,39862,1,64,64
17812642,2,889,64,39863,1,64,64
17812664,9,700,128,39864,1,128,128
17813490,2,8511,128,39865,1,128,128
17813594,2,107,64,39866,1,64,64
17813754,3,1420,64,39867,1,64,64
17813764,3,854,64,39868,1,64,64
17813830,0,140,32,39869,1,32,32
17813831,0,138,32,39870,1,32,32
17813839,3,357,64,39871,1,64,64
17814123,0,175,32,39872,1,32,32
17814123,0,175,32,39873,1,32,32
17814226,2,284,64,39874,1,64,64
17814356,8,5454,64,39875,1,64,64
17814399,0,112,32,39876,1,32,32
17814399,0,113,32,39877,1,32,32
17814511,0,83,32,39878,1,32,32
17814698,2,248,64,39879,1,64,64
17815012,2,587,64,39880,1,64,64
17815820,3,1279,64,39881,1,64,64
17816077,3,445,64,39882,1,64,64
17816729,3,348,64,39883,1,64,64
17817403,3,59,64,39884,1,64,64
17817494,2,232,64,39885,1,64,64
17817905,4,184,64,39886,1,64,64
17818160,3,174,64,39887,1,64,64
17818828,2,246,64,39888,1,64,64
17819251,5,7304,512,39889,1,512,512
17819486,2,258,64,39890,1,64,64
17819790,2,10253,128,39891,1,128,128
17819900,5,13474,128,39892,1,128,128
17819975,2,141,64,39893,1,64,64
17820059,3,163,128,39894,1,128,128
17820091,3,5209,64,39895,1,64,64
17821165,10,5253,256,39896,1,256,256
17821311,2,3930,64,39897,1,64,64
17821734,3,55,64,39898,1,64,64
17822512,2,1308,64,39899,1,64,64
17822822,6,51,64,39900,1,64,64
17822914,2,8205,128,39901,1,128,128
17823676,3,31,64,39902,1,64,64
17823932,2,173,128,39903,1,128,128
17823938,2,41,64,39904,1,64,64
17824053,2,692,128,39905,1,128,128
17824179,27862,7209,32,39906,1,32,32
17824187,35064,7182,32,39907,1,32,32
17824230,2,397,64,39908,1,64,64
17824445,3,24,64,39909,1,64,64
17824620,3,29,64,39910,1,64,64
17824896,2,132,64,39911,1,64,64
17824906,0,45,64,39912,1,64,64
17825094,2,26,64,39913,1,64,64
17825793,4,193,64,39914,1,64,64
17825823,2,777,64,39915,1,64,64
17826485,2,200,64,39916,1,64,64
17826492,2,44,64,39917,1,64,64
17826840,2,620,64,39918,1,64,64
17827374,3,30,64,39919,1,64,64
17827812,3,25,64,39920,1,64,64
17827981,3,135,512,39921,1,512,512
17828115,7,33,64,39922,1,64,64
17828378,2,24,64,39923,1,64,64
17828392,3,45,64,39924,1,64,64
17828455,2,457,64,39925,1,64,64
17828496,9,11404,512,39926,1,512,512
17829069,2,28,64,39927,1,64,64
17829441,2,27,64,39928,1,64,64
17829506,2,39,64,39929,1,64,64
17829652,2,189,64,39930,1,64,64
17830113,6,28,64,39931,1,64,64
17830336,3,21,64,39932,1,64,64
17830390,2,1210,64,39933,1,64,64
17830656,2,23,64,39934,1,64,64
17830982,0,56,64,39935,1,64,64
17831036,3,24,64,39936,1,64,64
17831132,3,3611,128,39937,1,128,128
17831145,0,59,128,39938,1,128,128
17831355,2,30,64,39939,1,64,64
17831704,2,43,64,39940,1,64,64
17831713,2,34,64,39941,1,64,64
17831856,3,944,64,39942,1,64,64
17832474,4,32,64,39943,1,64,64
17832831,2,89,128,39944,1,128,128
17832919,4,4321,128,39945,1,128,128
17833138,6,33,64,39946,1,64,64
17833180,5,1282,64,39947,1,64,64
17833234,3,141,128,39948,1,128,128
17833453,4,24,64,39949,1,64,64
17833528,2,132,128,39950,1,128,128
17833540,0,39,128,39951,1,128,128
17833917,2,27,64,39952,1,64,64
17834149,2,2831,256,39953,1,256,256
17834386,2,37,64,39954,1,64,64
17834478,2,39,64,39955,1,64,64
17834751,2,3495,128,39956,1,128,128
17834824,2,28,64,39957,1,64,64
17834843,2,44,64,39958,1,64,64
17834890,2,1398,64,39959,1,64,64
17835014,2,21,64,39960,1,64,64
17836330,2,2483,64,39961,1,64,64
17836612,3,97,64,39962,1,64,64
17837872,3,156,64,39963,1,64,64
17838252,2,3266,128,39964,1,128,128
17838264,0,20,128,39965,1,128,128
17839030,2,1559,64,39966,1,64,64
17839068,2,84,64,39967,1,64,64
17839716,2,191,64,39968,1,64,64
17841002,2,63,64,39969,1,64,64
17841524,2,3245,128,39970,1,128,128
17843184,41613,1835,128,39971,1,128,128
17843351,4,14,256,39972,1,256,256
17843764,3,6948,256,39973,1,256,256
17844007,5,101,64,39974,1,64,64
17844775,40032,4312,128,39975,1,128,128
17845149,3,65,32,39976,1,32,32
17845449,2,1377,64,39977,1,64,64
17845600,2,71,32,39978,1,32,32
17846039,2,66,32,39979,1,32,32
17846055,6,5174,512,39980,1,512,512
17846537,2,74,32,39981,1,32,32
17850712,4,43,256,39982,1,256,256
17850861,2,31,256,39983,1,256,256
17851223,14,164,512,39984,1,512,512
17851584,2,4508,512,39985,1,512,512
17851975,14460,10793,32,39986,1,32,32
17852624,4,480,256,39987,1,256,256
17853616,4,4315,256,39988,1,256,256
17853858,3,2358,128,39989,1,128,128
17853904,2,116,64,39990,1,64,64
17854380,3,1039,64,39991,1,64,64
17856297,1640,5432,256,39992,1,256,256
17859098,2,890,512,39993,1,512,512
17859279,0,41,32,39994,1,32,32
17859785,3,1583,32,39995,1,32,32
17859967,25,3153,512,39996,1,512,512
17863239,3,79,512,39997,1,512,512
17863366,5,47,256,39998,1,256,256
17863432,3,3196,512,39999,1,512,512
17877165,65,10522,32,40000,1,32,32
17885368,2,278,512,40001,1,512,512
17885915,3,39,512,40002,1,512,512
17886308,3,159,512,40003,1,512,512
17886483,2,146,512,40004,1,512,512
17886777,3,254,512,40005,1,512,512
17887033,3,11388,512,40006,1,512,512
17887688,66,10709,32,40007,1,32,32
17891566,2,7051,256,40008,1,256,256
17891572,2,117,64,40009,1,64,64
17894349,3,3276,128,40010,1,128,128
17897633,2,3242,128,40011,1,128,128
17898422,42,10516,32,40012,1,32,32
17898998,3,7183,256,40013,1,256,256
17900882,2,3394,128,40014,1,128,128
17901739,2,5243,64,40015,1,64,64
17903281,2,4229,64,40016,1,64,64
17903436,3,6424,512,40017,1,512,512
17906807,5,52,128,40018,1,128,128
17907026,3,423,128,40019,1,128,128
17907683,4,485,128,40020,1,128,128
17908401,4,36,128,40021,1,128,128
17908489,2,286,128,40022,1,128,128
17908918,64,10712,32,40023,1,32,32
17909269,3,50,128,40024,1,128,128
17909447,3,2163,256,40025,1,256,256
17909770,2,1113,64,40026,1,64,64
17910320,5,1567,512,40027,1,512,512
17910714,5,559,64,40028,1,64,64
17910752,6,3541,128,40029,1,128,128
17910946,3,2195,64,40030,1,64,64
17911609,6,18,256,40031,1,256,256
17911755,4,4524,256,40032,1,256,256
17911886,9,4133,512,40033,1,512,512
17916020,10,9600,512,40034,1,512,512
17916281,5,4539,256,40035,1,256,256
17916702,3,2192,64,40036,1,64,64
17919631,65,10469,32,40037,1,32,32
17920822,6,4542,256,40038,1,256,256
17923615,2,4183,64,40039,1,64,64
17925367,5,4529,256,40040,1,256,256
17925624,8,106274,512,40041,1,512,512
17929898,6,4529,256,40042,1,256,256
17930102,65,10688,32,40043,1,32,32
17934430,6,4533,256,40044,1,256,256
17938967,5,4524,256,40045,1,256,256
17940793,63,10491,32,40046,1,32,32
17943494,5,4516,256,40047,1,256,256
17948012,5,4555,256,40048,1,256,256
17951285,64,10500,32,40049,1,32,32
17952568,6,4566,256,40050,1,256,256
17957136,6,4546,256,40051,1,256,256
17961684,7,4514,256,40052,1,256,256
17961785,66,10706,32,40053,1,32,32
17966202,5,4537,256,40054,1,256,256
17970741,5,4539,256,40055,1,256,256
17972520,48,10512,32,40056,1,32,32
17972556,2,4323,128,40057,1,128,128
17974531,2,4987,128,40058,1,128,128
17975282,6,4534,256,40059,1,256,256
17979819,6,4524,256,40060,1,256,256
17983018,64,10747,32,40061,1,32,32
17984346,5,4547,256,40062,1,256,256
17985706,3,3848,128,40063,1,128,128
17988895,5,4515,256,40064,1,256,256
17993411,6,4554,256,40065,1,256,256
17993766,64,10503,32,40066,1,32,32
17995154,3,3318,128,40067,1,128,128
17997969,5,4525,256,40068,1,256,256
18000220,4,3837,128,40069,1,128,128
18002496,5,4521,256,40070,1,256,256
18004269,65,10758,32,40071,1,32,32
18005212,3,1801,128,40072,1,128,128
18007019,5,4532,256,40073,1,256,256
18007172,3,626,128,40074,1,128,128
18007996,2,310,128,40075,1,128,128
18008306,4,3857,128,40076,1,128,128
18011553,5,4571,256,40077,1,256,256
18012033,3,4284,64,40078,1,64,64
18014332,25,22432,128,40079,1,128,128
18015029,64,10518,32,40080,1,32,32
18016127,5,4526,256,40081,1,256,256
18020655,5,4517,256,40082,1,256,256
18022246,2934,782,256,40083,1,256,256
18025549,63,10745,32,40084,1,32,32
18026097,5,8851,256,40085,1,256,256
18034950,7,6603,256,40086,1,256,256
18036293,65,10524,32,40087,1,32,32
18041558,6,12823,256,40088,1,256,256
18046820,55920,10754,32,40089,1,32,32
